booking_id,hotel_name,hotel_city,hotel_state,hotel_zipcode,hotel_country,booking_for,numbers_of_persons,adults,childrens,days_of_stays,check_in_timestamp,check_out_timestamp,requires_travels_facility,mode_of_travels,amount,discount_category,special_discount,tax,total_amounts,rooms_booked,room_type,booking_source,payment_method,guest_email,booking_status,room_number,guest_type,guest_age,guest_gender
453,Radisson Blu Hotel Mumbai,Mumbai,Maharashtra,400051,India,family,2.0,1.0,1.0,10.0,2026-07-05 09:20:00,2026-07-15 09:20:00,,e-cycle,25472.49,working_pro_business_trips,0.0,1273.62,26746.11,3.0,Family Room,corporate_portal,cash,guest00453@example.com,pending,D401,India,52.0,F
85,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,wedding,1.0,1.0,0.0,3.0,2025-09-04 18:26:00,2025-09-07 18:26:00,,cycle,30498.02,honeymoon,4574.7,4666.2,30589.52,2.0,Suite,website,cash,guest00085@example.com,cancelled,C312,India,40.0,M
435,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,leisure,5.0,2.0,3.0,1.0,2025-03-25 18:51:00,2025-03-26 18:51:00,Yes,bus 25 seater,11632.63,childrens_trips,0.0,581.63,12214.26,1.0,Standard,website,cash,guest00435@example.com,checked_in,A101,International,71.0,F
474,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,business,2.0,2.0,0.0,11.0,2025-09-25 19:29:00,2025-10-06 19:29:00,Yes,car,173468.51,,34693.7,6938.74,145713.55,3.0,Suite,corporate_portal,net_banking,guest00474@example.com,confirmed,E510,India,74.0,F
429,Radisson Blu Hotel Bengaluru,Bengaluru,Karnataka,560052,India,transit,3.0,3.0,0.0,6.0,2025-10-07 07:42:00,2025-10-13 07:42:00,Yes,e-cycle,144291.78,honeymoon,7214.59,6853.86,143931.05,3.0,Suite,website,credit_card,guest00429@example.com,pending,D401,International,66.0,F
313,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,family,1.0,1.0,0.0,9.0,2025-03-05 11:57:00,2025-03-14 11:57:00,Yes,bus 11 seater,133134.32,students_exploring,6656.72,6323.88,132801.48,3.0,Family Room,corporate_portal,upi,guest00313@example.com,checked_in,D401,International,45.0,OTHER
31,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,conference,2.0,2.0,0.0,6.0,2025-02-21 08:24:00,2025-02-27 08:24:00,No,car,57780.08,students_exploring,5778.01,6240.25,58242.32,1.0,Family Room,website,upi,guest00031@example.com,pending,,India,67.0,OTHER
221,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,wedding,6.0,5.0,1.0,5.0,2026-01-26 03:24:00,2026-01-31 03:24:00,,motorcycle,11865.86,students_exploring,1779.88,1210.32,11296.3,1.0,Business Class,phone,debit_card,guest00221@example.com,cancelled,E510,India,78.0,M
120,Radisson Blu Hotel Nagpur,Nagpur,Maharashtra,440001,India,family,3.0,2.0,1.0,12.0,2026-07-25 18:56:00,2026-08-06 18:56:00,,e-cycle,140532.64,students_exploring,14053.26,6323.97,132803.35,3.0,Business Class,phone,cash,guest00120@example.com,checked_in,B205,International,42.0,M
232,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,business,8.0,5.0,3.0,4.0,2025-08-28 01:42:00,2025-09-01 01:42:00,Yes,e-cycle,40724.13,childrens_trips,4072.41,4398.21,41049.93,1.0,Family Room,phone,upi,guest00232@example.com,cancelled,E510,India,42.0,OTHER
10,art'otel Amsterdam,Amsterdam,North Holland,1012,Netherlands,leisure,3.0,3.0,0.0,11.0,2025-11-16 12:42:00,2025-11-27 12:42:00,Yes,bus 25 seater,151885.35,honeymoon,0.0,7594.27,159479.62,3.0,Family Room,mobile_app,net_banking,guest00010@example.com,pending,A101,India,63.0,OTHER
125,art'otel Amsterdam,Amsterdam,North Holland,1012,Netherlands,family,2.0,2.0,0.0,10.0,2025-12-04 07:24:00,2025-12-14 07:24:00,No,e-cycle,169869.05,,33973.81,16307.43,152202.67,3.0,Suite,corporate_portal,debit_card,guest00125@example.com,cancelled,B205,India,64.0,OTHER
423,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,conference,6.0,4.0,2.0,1.0,2025-11-25 12:37:00,2025-11-26 12:37:00,Yes,cycle,2339.71,childrens_trips,233.97,105.29,2211.03,2.0,Business Class,website,credit_card,guest00423@example.com,confirmed,E510,India,36.0,M
205,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,transit,5.0,,1.0,8.0,2026-01-30 22:54:00,2026-02-07 22:54:00,,car,162306.41,senior_citizens,0.0,8115.32,170421.73,1.0,Suite,walk_in,cash,guest00205@example.com,checked_out,,International,29.0,OTHER
361,art'otel Amsterdam,Amsterdam,North Holland,1012,Netherlands,leisure,1.0,1.0,0.0,12.0,2025-05-14 02:27:00,2025-05-26 02:27:00,Yes,car,237274.34,,23727.43,10677.35,224224.26,3.0,Family Room,website,cash,guest00361@example.com,confirmed,C312,India,22.0,F
71,Radisson Blu Hotel Bengaluru,Bengaluru,Karnataka,560052,India,business,6.0,5.0,1.0,7.0,2026-03-17 05:08:00,2026-03-24 05:08:00,No,e-cycle,93842.61,honeymoon,18768.52,9008.89,84082.98,2.0,Standard,corporate_portal,credit_card,guest00071@example.com,cancelled,E510,International,54.0,F
431,Radisson Blu Hotel Bengaluru,Bengaluru,Karnataka,560052,India,wedding,4.0,3.0,1.0,1.0,2025-01-10 07:47:00,2025-01-11 07:47:00,,bus 25 seater,18253.39,,0.0,912.67,19166.06,1.0,Deluxe,corporate_portal,upi,guest00431@example.com,confirmed,C312,International,75.0,OTHER
432,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,leisure,4.0,4.0,0.0,11.0,2025-08-03 00:12:00,2025-08-14 00:12:00,,bus 11 seater,90579.1,,13586.86,9239.07,86231.31,3.0,Family Room,phone,net_banking,guest00432@example.com,checked_out,B205,India,55.0,M
365,Radisson Blu Hotel Bengaluru,Bengaluru,Karnataka,560052,India,wedding,6.0,5.0,1.0,8.0,2025-04-29 12:18:00,2025-05-07 12:18:00,No,bus 25 seater,141915.84,students_exploring,14191.58,,134110.47,1.0,Standard,corporate_portal,upi,guest00365@example.com,pending,A101,International,61.0,M
212,Radisson Blu Hotel New Delhi,New Delhi,Delhi,110001,India,wedding,5.0,5.0,0.0,11.0,2025-04-21 13:02:00,2025-05-02 13:02:00,,bus 11 seater,247375.71,students_exploring,24737.57,40074.87,262713.01,1.0,Family Room,phone,credit_card,guest00212@example.com,checked_out,D401,International,77.0,OTHER
79,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,business,2.0,2.0,0.0,8.0,2025-08-08 10:49:00,2025-08-16 10:49:00,,cycle,39932.13,,0.0,4791.86,44723.99,3.0,Standard,phone,upi,guest00079@example.com,checked_out,B205,International,27.0,M
182,Radisson Blu Hotel Dubai Deira Creek,Dubai,Dubai,12345,UAE,family,3.0,3.0,0.0,7.0,2026-02-01 05:23:00,2026-02-08 05:23:00,Yes,bus 25 seater,19845.79,working_pro_business_trips,1984.58,2143.35,20004.56,1.0,Deluxe,phone,credit_card,guest00182@example.com,confirmed,,International,69.0,OTHER
425,Radisson Blu Hotel Nagpur,Nagpur,Maharashtra,440001,India,business,5.0,5.0,0.0,10.0,2025-07-27 07:48:00,2025-08-06 07:48:00,No,car,136000.14,childrens_trips,20400.02,13872.01,129472.13,2.0,Family Room,corporate_portal,credit_card,guest00425@example.com,checked_in,A101,International,58.0,M
56,Radisson Blu Hotel Frankfurt,Frankfurt,Hesse,60329,Germany,family,3.0,2.0,1.0,12.0,2025-09-14 21:48:00,2025-09-26 21:48:00,No,car,273107.59,working_pro_business_trips,54621.52,10924.3,229410.37,2.0,Deluxe,website,upi,guest00056@example.com,cancelled,,International,29.0,M
77,Radisson Blu Beke Hotel Budapest,Budapest,Budapest,1067,Hungary,family,5.0,5.0,0.0,6.0,2026-02-01 13:49:00,2026-02-07 13:49:00,Yes,cycle,98619.41,,4930.97,4684.42,98372.86,2.0,Business Class,travel_agent,net_banking,guest00077@example.com,pending,C312,India,55.0,OTHER
78,Park Plaza Vondelpark Amsterdam,Amsterdam,North Holland,1071,Netherlands,wedding,4.0,4.0,0.0,12.0,2025-12-25 09:41:00,2026-01-06 09:41:00,No,e-cycle,218939.39,childrens_trips,0.0,26272.73,245212.12,1.0,Family Room,website,cash,guest00078@example.com,checked_out,C312,India,41.0,F
155,art'otel Amsterdam,Amsterdam,North Holland,1012,Netherlands,business,6.0,4.0,2.0,11.0,2025-06-05 13:39:00,2025-06-16 13:39:00,,e-cycle,41922.79,students_exploring,0.0,2096.14,44018.93,2.0,Suite,travel_agent,debit_card,guest00155@example.com,pending,C312,India,33.0,OTHER
266,Radisson Blu Hotel Amsterdam City Center,Amsterdam,North Holland,1012,Netherlands,leisure,7.0,5.0,2.0,6.0,2025-05-09 15:14:00,2025-05-15 15:14:00,Yes,e-cycle,116132.3,students_exploring,11613.23,18813.43,123332.5,2.0,Deluxe,travel_agent,credit_card,guest00266@example.com,checked_in,,International,53.0,F
