booking_id,hotel_name,hotel_city,hotel_state,hotel_zipcode,hotel_country,booking_for,numbers_of_persons,adults,childrens,days_of_stays,check_in_timestamp,check_out_timestamp,requires_travels_facility,mode_of_travels,amount,discount_category,special_discount,tax,total_amounts,rooms_booked,room_type,booking_source,payment_method,guest_email,booking_status,room_number,guest_type,guest_age,guest_gender
BKUNKWN-gnqe-0001-ghs1,None,Lyon,Auvergne-Rhone-Alpes,69003,France,Leisure,4,1,3,5,2026-04-27 13:00:00,2026-05-02 12:00:00,No,Car,1400.00,Early Bird,140.00,210.00,1470.00,2,Deluxe King,Corporate Portal,Invoice,user domain@example.com,Completed,1234,Regular,22,Non-binary
BKRBHLV-o9vh-0001-n5vi,Radisson Blu Hotel Lietuva Vilnius,Vilnius,Vilnius County,LT-09308,Lithuania,Leisure,5,4,1,1,2026-04-29 14:00:00,2026-04-30 12:00:00,No,Car,360.00,Seasonal,36.00,54.00,378.00,2,Ocean View King,Walk-in,Cash,chioma.turnerBKRBHLV-o9vh-0001-n5vi@email.com,Completed,742,Regular,23,Male
BKRBHRI-no9p-0001-gajk,Radisson Blu Hotel Riyadh,Riyadh,Riyadh Province,11484,Saudi Arabia,Leisure,4,2,2,6,2026-05-01 13:00:00,2026-05-07 12:00:00,No,Car,1920.00,None,0.00,288.00,2208.00,2,Executive Twin,Travel Agent,Credit Card,eva.leclercBKRBHRI-no9p-0001-gajk@email.com,Confirmed,509,Regular,71,Male
BKPIBRB-cv2z-0001-9z8v,Park Inn by Radisson Bucharest Hotel & Residence,Bucharest,Bucharest,010131,Romania,Business,2,2,0,6,2026-05-03 15:00:00,2026-05-09 12:00:00,Yes,Car,1500.00,None,0.00,225.00,1725.00,1,Standard Queen,Corporate Portal,Invoice,omar.moralesBKPIBRB-cv2z-0001-9z8v@email.com,Completed,252,Regular,35,Non-binary
BKPIBRI-s2hz-0001-01rt,Park Inn by Radisson Istanbul Atasehir,Istanbul,Istanbul,34746,Turkey,Leisure,3,1,2,6,2026-05-05 13:00:00,2026-05-11 12:00:00,No,Flight,1080.00,None,0.00,162.00,1242.00,1,Executive King,Website,Credit Card,seojun.mansourBKPIBRI-s2hz-0001-01rt@email.com,Cancelled,232,Regular,29,Non-binary
BKPPBER-kc1m-0001-wtei,Park Plaza Berlin,Berlin,Berlin,10789,Germany,Leisure,4,1,3,6,2026-05-07 16:00:00,2026-05-13 12:00:00,No,Flight,1680.00,Seasonal,168.00,252.00,1764.00,2,Standard Queen,Website,Debit Card,stella.fernandezBKPPBER-kc1m-0001-wtei@email.com,Completed,1375,VIP,69,Non-binary
BKPPTRI-bh1n-0001-a235,Park Plaza Trier,Trier,Rhineland-Palatinate,54292,Germany,Leisure,3,3,0,2,2026-05-09 13:00:00,2026-05-11 10:00:00,Yes,Train,400.00,Member,40.00,60.00,420.00,1,Deluxe King,Corporate Portal,Invoice,farhan.wilsonBKPPTRI-bh1n-0001-a235@email.com,Pending,1153,Regular,63,Male
BKRBSHH-aqxe-0001-0qgw,Radisson Blu St Helen's Hotel Dublin,Dublin,County Dublin,A94 V6W3,Ireland,Leisure,4,4,0,1,2026-05-11 16:00:00,2026-05-12 10:00:00,Yes,Car,400.00,Seasonal,40.00,60.00,420.00,2,Cabin Suite,Walk-in,Credit Card,lauren.leeBKRBSHH-aqxe-0001-0qgw@email.com,Confirmed,884,Regular,26,Male
BKPIBRI-tikf-0002-ntus,Park Inn by Radisson Istanbul Atasehir,Istanbul,Istanbul,34746,Turkey,Leisure,1,1,0,3,2026-05-13 14:00:00,2026-05-16 10:00:00,No,Train,900.00,Early Bird,90.00,135.00,945.00,1,Deluxe King,Corporate Portal,Invoice,ruby.fernandezBKPIBRI-tikf-0002-ntus@email.com,Confirmed,951,Regular,53,Male
BKPIBRN-zkle-0001-t2ev,Park Inn by Radisson New York City,New York,NY,10001,USA,Leisure,2,2,0,6,2026-05-15 13:00:00,2026-05-21 10:00:00,No,Bus,720.00,Seasonal,72.00,108.00,756.00,1,Executive Twin,Website,Credit Card,hyunwoo.perrinBKPIBRN-zkle-0001-t2ev@email.com,Cancelled,857,Corporate,52,Female
